Evidence_ID,Paper_ID,Authors,Year,Title,Journal_or_Conference,DOI,Process,Workpiece_Material,Tool_or_Reamer,Process_Factor,Factor_Value_or_Range,Experimental_Context,Measured_Outcome,Source_Supported_Finding,Evidence_Type,Evidence_Directness,Primary_RC_Mapping,Secondary_RC_Mapping,Suggested_CA,CA_Source_Type,Supporting_Passage_or_Summary,Source_Page_or_Section_if_available,Critical_Limitation,Retrieval_Text,Source_URL,Verification_Status
E022,P022,Klaus Schützer; M. Roth; Eberhard Abele; T. Hauer,2014,Experimental investigation of hole quality during reaming applications using multi-blade tools,"Journal of the Brazilian Society of Mechanical Sciences and Engineering 36, 797–806",10.1007/s40430-014-0127-1,Reaming,Sintered-steel valve-guide application,Multi-blade reamers,Tool/predrilled-hole misalignment; tool geometry; guiding behaviour,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,Misalignment between the tool and predrilled-hole axes and reamer guiding geometry affect the resulting hole quality.,Direct experimental/mechanistic reaming study,Direct reaming evidence,A7,A8; A6,C6,Engineering Inference,Misalignment between the tool and predrilled-hole axes and reamer guiding geometry affect the resulting hole quality.,Publisher abstract/full text where available,Application/tool geometry specific; not a general numerical runout threshold.,reaming multiblade misalignment tool axis predrilled hole process error guiding geometry hole quality valve guide,https://doi.org/10.1007/s40430-014-0127-1,Bibliographic identity/DOI/source verified 2026-08-31
E023,P023,Jaroslava Fulemova; Jan Kutlwaser; Miroslav Gombar; Jan Rehor,2017,Influence of Selected Technological Factors on the Hole Quality During Reaming,"Proceedings of the 28th DAAAM International Symposium, 334–340",10.2507/28th.daaam.proceedings.046,Reaming,42CrMo4 steel,Six-blade cermet reamer,Cutting speed; feed rate; reverse feed; tool-tip eccentricity,Cutting speed 150–210 m/min; feed 0.60–0.84 mm/rev; reverse feed 15–45 mm/min; eccentricity 2–14 μm,Statistical experiment on technological factors.,Cylindricity; Ra; hole diameter,"Feed, cutting speed and eccentricity/interaction effects influence reamed-hole quality, with factor importance depending on the response and tested context.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A4,A3; A7,C3,Engineering Inference,"Feed, cutting speed and eccentricity/interaction effects influence reamed-hole quality, with factor importance depending on the response and tested context.",Publisher abstract/full text where available,Ranges are specific to 42CrMo4 and the selected reamer.,reaming 42CrMo4 cermet feed speed reverse feed eccentricity cylindricity roughness diameter,https://doi.org/10.2507/28th.daaam.proceedings.046,Bibliographic identity/DOI/source verified 2026-08-31
E024,P024,C. Ye; X.R. Shi; L. Chen; Yong Guo Wang,2020,Optimization of Reaming Process Parameters for Alloy Grey Cast Iron HT250 Using Grey Relational Analysis,"Key Engineering Materials 866, 32–41",10.4028/www.scientific.net/KEM.866.32,Reaming,HT250 alloy grey cast iron,TiAlN-coated carbide reamer among compared tools,Cutting speed; feed rate; tool wear,Study-specific; no universal threshold encoded,Taguchi L16 multi-response optimisation.,Diametral error; roughness; crater/flank wear,"Hole quality depended strongly on cutting speed and feed; within the tested Taguchi design, feed was more influential than cutting speed in the grey-relational analysis.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A4,A3; A1,C3,Engineering Inference,"Hole quality depended strongly on cutting speed and feed; within the tested Taguchi design, feed was more influential than cutting speed in the grey-relational analysis.",Publisher abstract/full text where available,Relative factor importance is context-specific.,reaming HT250 grey cast iron feed cutting speed tool wear diametral error roughness feed influential,https://doi.org/10.4028/www.scientific.net/KEM.866.32,Bibliographic identity/DOI/source verified 2026-08-31
E025,P025,X.K. Yang; Y.G. Wang; W.L. Ge; L. Chen; H. Ge,2018,"Cutting Performance of Reaming Alloy Gray Cast Iron HT250 Using Carbide, Cermet and CBN Reamers","Key Engineering Materials 764, 261–270",10.4028/www.scientific.net/KEM.764.261,Reaming,HT250 alloy grey cast iron,"Carbide, cermet and CBN reamers",Tool material; tool wear; cutting performance,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,Reamer material and wear behaviour affect cutting performance and resulting hole quality.,Direct experimental/mechanistic reaming study,Direct reaming evidence,A1,,C1,Engineering Inference,Reamer material and wear behaviour affect cutting performance and resulting hole quality.,Publisher abstract/full text where available,Does not provide a universal tool-life threshold.,reaming HT250 carbide cermet CBN reamer tool wear cutting performance hole quality,https://doi.org/10.4028/www.scientific.net/KEM.764.261,Bibliographic identity/DOI/source verified 2026-08-31
E026,P026,Xiangping Yan; Bin Li; Jianru Li; Lei Yang,2013,Analysis of the machining characteristics in reaming AlSi12 alloy with PCD reamer,The International Journal of Advanced Manufacturing Technology 69(9–12),10.1007/s00170-013-5219-z,Reaming,AlSi12 aluminium alloy,Six-flute PCD reamer,Cutting/spindle speed; feed; cutting forces; chip/debris-related surface damage,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,"Hole quality and surface condition vary with cutting conditions; reported damage mechanisms include chip/debris-related defects, supporting context-dependent speed/feed selection.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A3,A4; A2,C2,Engineering Inference,"Hole quality and surface condition vary with cutting conditions; reported damage mechanisms include chip/debris-related defects, supporting context-dependent speed/feed selection.",Publisher abstract/full text where available,Specific PCD/AlSi12 context; optimum values are not universal.,reaming AlSi12 PCD speed feed torque thrust cylindricity surface finish chip debris hole quality,https://doi.org/10.1007/s00170-013-5219-z,Bibliographic identity/DOI/source verified 2026-08-31
E027,P027,Sheri Kurgin; Jean M. Dasch; Daniel L. Simon; Gary C. Barber; Qian Zou,2014,A comparison of two minimum quantity lubrication delivery systems,"Industrial Lubrication and Tribology 66(1), 151–159",10.1108/ILT-07-2011-0055,Reaming,Aluminium automotive transmission valve body,Through-tool MQL/flood reaming setup,Cooling/lubrication delivery strategy,Study-specific; no universal threshold encoded,Experimental comparison of MQL delivery systems.,Temperature; spindle power; hole quality,"With suitable tooling and parameters, dual-channel MQL performed equivalently or better than flood coolant, whereas single-channel MQL was not suitable for the tested application.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A5,,C4,Directly Reported,"With suitable tooling and parameters, dual-channel MQL performed equivalently or better than flood coolant, whereas single-channel MQL was not suitable for the tested application.",Publisher abstract/full text where available,Application-specific; does not imply one lubrication strategy is universally best.,precision reaming aluminium MQL dual channel single channel flood coolant hole quality lubrication delivery,https://doi.org/10.1108/ILT-07-2011-0055,Bibliographic identity/DOI/source verified 2026-08-31
E028,P028,Zi Ye; Dejin Lv; Yongguo Wang,2021,Design of chip breaker and study on cutting performance in reaming 7050 aluminum alloy,"The International Journal of Advanced Manufacturing Technology 116, 159–173",10.1007/s00170-021-07393-9,Reaming,7050 aluminium alloy,PCD reamers with/without chip breakers,Chip formation/breakability; small reaming allowance,Study-specific; no universal threshold encoded,FEM plus reaming experiments.,Chip breakability; surface quality,Small reaming allowance can produce thin chips that are difficult to break in ductile aluminium; an appropriately designed chip breaker improved chip breakability and surface quality.,Direct experimental/mechanistic reaming study,Direct reaming evidence,A2,A6,C8,Directly Reported,Small reaming allowance can produce thin chips that are difficult to break in ductile aluminium; an appropriately designed chip breaker improved chip breakability and surface quality.,Publisher abstract/full text where available,Chip-breaker geometry and allowance effects are specific to the tested PCD/7050 setup.,reaming 7050 aluminium PCD chip breaker thin chips chip breakability small allowance surface quality evacuation,https://doi.org/10.1007/s00170-021-07393-9,Bibliographic identity/DOI/source verified 2026-08-31
E029,P029,David N. Dilley; Phil V. Bayly; Brian T. Whitehead; Sean G. Calvert,2005,An analytical study of the effect of process damping on reamer vibrations,"Journal of Sound and Vibration 280(3–5), 997–1015",10.1016/j.jsv.2004.01.054,Reaming,Mechanistic reaming context,Reamer dynamic model,Process damping; stability; chatter; low-frequency vibration,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,Process damping changes reamer stability: it can stabilise chatter near a bending mode while destabilising low-frequency vibration.,Direct experimental/mechanistic reaming study,Direct reaming evidence,A8,,C7,Engineering Inference,Process damping changes reamer stability: it can stabilise chatter near a bending mode while destabilising low-frequency vibration.,Publisher abstract/full text where available,Mechanistic/analytical; not a direct production threshold.,reamer vibration chatter process damping stability bending frequency low frequency whirling hole form,https://doi.org/10.1016/j.jsv.2004.01.054,Bibliographic identity/DOI/source verified 2026-08-31
E030,P030,Rattachanai Rattanakit; Sein Soo; David Aspinwall; Peter Harden; Brenden Haffner; Zhu Zhang; Dick Arnold,2015,The effect of cutting speed and tool material on hole quality when reaming C355 aluminium alloy,"Proceedings of the 38th International MATADOR Conference, 224–230",,Reaming,C355 aluminium alloy,"5.08 mm uncoated carbide, CVD-diamond-coated carbide and PCD reamers",Tool material/coating; tool wear; cutting speed,Cutting speeds 32 and 96 m/min; feed 0.12 mm/rev; predrilled 4.8 mm blind holes,Comparative experiment.,Tool wear; force/torque; roughness; roundness; cylindricity,"Wear differed strongly by tool material/coating and surface finish generally improved at the higher tested speed, showing material/tool-specific tool-condition and speed effects.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A1,A3,C1,Engineering Inference,"Wear differed strongly by tool material/coating and surface finish generally improved at the higher tested speed, showing material/tool-specific tool-condition and speed effects.",Publisher abstract/full text where available,"Conference record; later book metadata conflict exists, so DOI is intentionally left blank.",reaming C355 aluminium carbide diamond PCD tool wear cutting speed 32 96 feed 0.12 blind hole roughness,https://research.birmingham.ac.uk/en/publications/the-effect-of-cutting-speed-and-tool-material-on-hole-quality-whe/,Bibliographic identity/DOI/source verified 2026-08-31
E031,P031,Jan Řehoř; Jaroslava Fulemová; Jan Kutlwašer; Miroslav Gombár; Marta Harničárová; Milena Kušnerová; Alena Vagaská; Michal Povolný; Jan Valíček; Tomáš Zatloukal,2023,ANOVA analysis for estimating the accuracy and surface roughness of precisely drilled holes of steel 42CrMo4 QT,"The International Journal of Advanced Manufacturing Technology 126, 675–695",10.1007/s00170-023-11115-8,Reaming,42CrMo4 QT steel,Precision drilling + reaming process chain,Hole pre-preparation; drilling technology; inherited hole geometry,Study-specific; no universal threshold encoded,Controlled process-chain experiment.,Cylindricity; roughness; accuracy,"Pre-preparation/drilling technology can influence the geometry of subsequently reamed holes, but effects vary by response and do not justify a universal pilot-hole rule.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A6,A7,C5,Engineering Inference,"Pre-preparation/drilling technology can influence the geometry of subsequently reamed holes, but effects vary by response and do not justify a universal pilot-hole rule.",Publisher abstract/full text where available,Factors are process technologies rather than a single allowance threshold.,reaming 42CrMo4 pre preparation drilling technology reamed hole cylindricity roughness process chain starting hole,https://doi.org/10.1007/s00170-023-11115-8,Bibliographic identity/DOI/source verified 2026-08-31
E032,P032,Pavel Müller; G. Genta; G. Barbato; Leonardo De Chiffre; R. Levi,2012,Reaming process improvement and control: An application of statistical engineering,"CIRP Journal of Manufacturing Science and Technology 5(3), 196–201",10.1016/j.cirpj.2012.07.005,Reaming,Steel bushing application,Production reaming setup,Speed; feed; lubrication; combined process factors,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,"Structured experimentation on single and combined parameters supported selection of production conditions meeting dimensional, surface-finish and cost targets.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A3,A4; A5,C2,Directly Reported,"Structured experimentation on single and combined parameters supported selection of production conditions meeting dimensional, surface-finish and cost targets.",Publisher abstract/full text where available,Production-specific optimisation; exact levels require the original process context.,reaming process improvement statistical engineering speed feed lubrication diameter surface finish production parameters,https://doi.org/10.1016/j.cirpj.2012.07.005,Bibliographic identity/DOI/source verified 2026-08-31
E033,P033,Jaroslava Fulemova; Jan Rehor,2016,Reaming of Very Precise and Deep Holes With Cermet Reamer,"Proceedings of the 27th DAAAM International Symposium, 275–282",10.2507/27th.daaam.proceedings.041,Reaming,Deep precision-hole steel application,Cermet versus sintered-carbide reamer,Deep-hole chip evacuation; coolant delivery; tool material; vibration/tool damage,Study-specific; no universal threshold encoded,,Hole-quality / machining response reported by source,"Deep-hole reaming couples chip evacuation, coolant delivery and tool/dynamic behaviour; the mechanisms can interact rather than behaving as isolated universal thresholds.",Direct experimental/mechanistic reaming study,Direct reaming evidence,A2,A5; A8; A1,C8,Engineering Inference,"Deep-hole reaming couples chip evacuation, coolant delivery and tool/dynamic behaviour; the mechanisms can interact rather than behaving as isolated universal thresholds.",Publisher abstract/full text where available,Deep-hole/tool-specific context and interacting mechanisms.,deep hole reaming cermet chip evacuation internal coolant vibration tool damage 8D precision hole,https://doi.org/10.2507/27th.daaam.proceedings.041,Bibliographic identity/DOI/source verified 2026-08-31
